name,type,value,date
MH-NS2-5F-501,7,85.0,08:55
MH-YX6-1F-107,8,74.6,08:55
MH-BYGTSG-4F-04,9,68.0,08:55
MH-MLXY-N-6F-01,10,65.2,08:55
MH-WX-4F-417-1,1,191.8,08:56
MH-WX-4F-417-2,2,172.6,08:56
MH-ZYXY-5F-01,3,163.6,08:56
MH-YYG-1F-01,4,140.2,08:56
MH-HX-A-4F-402,5,128.8,08:56
MH-CLA-4F-402-1,6,103.2,08:56
MH-BYGSXX-3F-01,7,103.2,08:56
MH-FC1-5F-517,8,100.0,08:56
XH-XSY-1F-S103-2,9,83.6,08:56
MH-YX3-4F-401,10,72.8,08:56
MH-WX-4F-417-1,1,161.6,08:57
MH-NSSXL-2F-205,2,109.6,08:57
MH-LZDTSG-3F-01,3,102.6,08:57
MH-WX-3F-309,4,93.6,08:57
MH-YX2-4F-2-403,5,90.2,08:57
MH-WLL-Z-1F-04,6,86.4,08:57
MH-XSY-2F-215,7,81.6,08:57
MH-CL-E-2F-02,8,72.0,08:57
MH-BYGSXX-3F-01,9,71.0,08:57
MH-XSY-1F-111,10,57.4,08:57
MH-MLL-4F-B401,1,171.4,08:58
MH-GCLXSYZX-3F-03,2,147.4,08:58
MH-NS2-5F-0-508-1,3,120.6,08:58
MH-LZDTSG-3F-02,4,107.2,08:58
MH-LZDTSG-2F-06,5,101.2,08:58
MH-BYGSXX-3F-01,6,98.8,08:58
MH-CLA-5F-502-1,7,98.8,08:58
MH-JGDLZ-2F-203,8,84.6,08:58
MH-ZYXY-5F-02,9,78.8,08:58
MH-CLA-4F-401-2,10,77.8,08:58
MH-YX3-4F-407,1,104.6,08:59
MH-YX2-1F-2-116,2,88.4,08:59
MH-CLB-2F-204,3,86.0,08:59
MH-XXY-3F-311,4,62.2,08:59
MH-NS2-5F-0-508-1,5,60.6,08:59
MH-LZDTSG-2F-02,6,57.0,08:59
MH-HJL-1F-124,7,53.0,08:59
MH-YX4B-4B211,8,53.0,08:59
MH-MLL-10F-A1002,9,49.2,08:59
MH-FC2-2F-211,10,44.8,08:59
MH-YX7-5F-510,1,170.2,09:00
MH-FC1-5F-518,2,138.8,09:00
MH-YX7-3F-307,3,123.4,09:00
MH-MLL-5F-A506-2,4,111.2,09:00
MH-WX-2F-201,5,107.6,09:00
MH-NS1-4F-XXS,6,106.6,09:00
